How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
More than 1000,1.0,1.0,No,there's no way mentioning any sort of health issue would be a positive in the context of an interview,No,there's no way mentioning any sort of health issue would be a positive in the context of an interview,"Yes, I observed",Yes,No,Yes,37.0,Male,United States of America,Oregon,United States of America,Oregon
More than 1000,1.0,1.0,Maybe,It may interfere with future plans ,No,It may interfere with future plans ,"Yes, I observed",Yes,No,Don't Know,32.0,Male,Japan,,Japan,
500-1000,0.0,1.0,Yes,Being true is good for all,Yes,Being true is good for all,Maybe/Not sure,No,No,No,34.0,M,India,,India,
More than 1000,0.0,1.0,No,Fear of not getting the job,No,Fear of not getting the job,No,No,Yes,No,37.0,Male,Singapore,,Singapore,
,,,No,Would increase rejection risks,No,Would increase rejection risks,Maybe/Not sure,No,No,Don't Know,38.0,Male,France,,France,
26-100,1.0,1.0,Maybe,,No,,Maybe/Not sure,,Possibly,Possibly,30.0,male,United States of America,Ohio,United States of America,Ohio
More than 1000,1.0,1.0,Yes,Physical health is not important for the work I do and it doesn't seem to be an issue (I nothing that there were a lot of overweight/fat people for example (don't know if that is an good example of physical health issue but it sure is a predictor)),No,Physical health is not important for the work I do and it doesn't seem to be an issue (I nothing that there were a lot of overweight/fat people for example (don't know if that is an good example of physical health issue but it sure is a predictor)),No,No,Don't Know,Don't Know,27.0,Male,France,,France,
More than 1000,0.0,1.0,No,I don't want to risk discrimination ,No,I don't want to risk discrimination ,No,No,No,No,41.0,Female,United States of America,California,United States of America,California
25-Jun,1.0,1.0,No,Prefer not to talk about it with employers,No,Prefer not to talk about it with employers,No,No,Yes,Possibly,41.0,M,United States of America,Massachusetts,United States of America,Massachusetts
26-100,1.0,1.0,No,,No,,Maybe/Not sure,,No,No,39.0,male,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Yes,idk not sure how it would come up,Maybe,idk not sure how it would come up,"Yes, I experienced",No,Yes,Yes,42.0,male,United States of America,Iowa,United States of America,Iowa
5-Jan,1.0,0.0,Yes,I think it's important to let people know if it's something that would impact my ability to fulfill my job duties.,Maybe,I think it's important to let people know if it's something that would impact my ability to fulfill my job duties.,Maybe/Not sure,No,Yes,Yes,28.0,Female,United States of America,Massachusetts,United States of America,Massachusetts
25-Jun,1.0,1.0,Yes,,No,,No,Maybe,Yes,Yes,29.0,Male,United States of America,New York,United States of America,New York
,,,Yes,I'm a tech person; physical health isn't likely to impact my job prospects.,Yes,I'm a tech person; physical health isn't likely to impact my job prospects.,"Yes, I observed",Maybe,Possibly,Possibly,41.0,"Male, cis",Australia,,Australia,
More than 1000,1.0,1.0,No,Not relevant and I wouldn't want them to count it against me,No,Not relevant and I wouldn't want them to count it against me,No,,Yes,No,46.0,Male,United States of America,California,United States of America,California
500-1000,1.0,1.0,Maybe,,No,,"Yes, I observed",Maybe,No,No,38.0,Male,Spain,,Spain,
More than 1000,1.0,1.0,Yes, Because its important,Yes, Because its important,No,No,No,Don't Know,34.0,Male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,It's difficult to talk about things that might be perceived as limiting factors when you might need a job badly.,No,It's difficult to talk about things that might be perceived as limiting factors when you might need a job badly.,Maybe/Not sure,Yes,Yes,Yes,28.0,Male,Germany,,Germany,
26-100,1.0,1.0,No,,No,,Maybe/Not sure,Maybe,Yes,Yes,28.0,Female ,Netherlands,,Netherlands,
26-100,1.0,1.0,Yes, I wouldnât want the pressure of feeling I have to hide something. ,Yes, I wouldnât want the pressure of feeling I have to hide something. ,"Yes, I observed",No,Possibly,No,38.0,cis male ,Germany,,Germany,
More than 1000,0.0,1.0,No,I would be afraid of not being offered the position regardless of my qualifications.,No,I would be afraid of not being offered the position regardless of my qualifications.,No,No,Yes,Yes,33.0,Male,United States of America,Kentucky,United States of America,Kentucky
26-100,1.0,1.0,Maybe,"If it is an issue that may affect my work, or if I would need some special assistance from my employer because of the issue, I would mention it",Maybe,"If it is an issue that may affect my work, or if I would need some special assistance from my employer because of the issue, I would mention it",Maybe/Not sure,No,Possibly,Don't Know,38.0,female,United States of America,Georgia,United States of America,Washington
100-500,0.0,1.0,Maybe,,Maybe,,No,No,Yes,Yes,48.0,Male,United States of America,Virginia,United States of America,Virginia
5-Jan,1.0,0.0,Maybe,I don't know,No,I don't know,"Yes, I experienced",No,No,No,44.0,Woman,France,,France,
More than 1000,1.0,1.0,No,To prevent bias,No,To prevent bias,No,No,Yes,Possibly,34.0,Male,United States of America,Indiana,United States of America,Indiana
100-500,1.0,1.0,Maybe,It shouldn't impact my chances of getting hired.,No,It shouldn't impact my chances of getting hired.,"Yes, I experienced",,Yes,Yes,29.0,Female,United States of America,Indiana,United States of America,Indiana
More than 1000,0.0,1.0,No,Not relevant,No,Not relevant,Maybe/Not sure,Maybe,Yes,Yes,39.0,male,United Kingdom,,United Kingdom,
100-500,1.0,1.0,No,,No,,No,Maybe,Possibly,Don't Know,41.0,m,Slovakia,,Slovakia,
100-500,1.0,1.0,Maybe,,No,,No,No,No,No,33.0,Male,United States of America,Tennessee,United States of America,Tennessee
,,,Maybe,,Maybe,,"Yes, I observed",,Possibly,No,31.0,male,Germany,,Germany,
More than 1000,1.0,1.0,No,,No,,"Yes, I experienced",,Don't Know,Don't Know,44.0,Male,France,,France,
100-500,0.0,1.0,No,,No,,No,Yes,Yes,Yes,33.0,Female,United States of America,California,United States of America,California
26-100,1.0,1.0,Yes,I have a chronic condition/disability which can lead me to require sick days and requires accomodation.,No,I have a chronic condition/disability which can lead me to require sick days and requires accomodation.,"Yes, I observed",Yes,Possibly,Possibly,26.0,Agender/genderfluid,Austria,,Austria,
26-100,1.0,1.0,Maybe,Depends on the issue,Maybe,Depends on the issue,No,No,No,No,28.0,Male,South Africa,,South Africa,
25-Jun,1.0,1.0,Maybe,"I am an open advocate for people with my disease, it is part of my social media profiles, writing, speaking, and tech work. It's almost unavoidable that it would come up in an interview. My physical illness could also impact me during an interview (IE a long onsite interview lasting >8hrs) and I might need to take medicine or eat to address it. ",No,"I am an open advocate for people with my disease, it is part of my social media profiles, writing, speaking, and tech work. It's almost unavoidable that it would come up in an interview. My physical illness could also impact me during an interview (IE a long onsite interview lasting >8hrs) and I might need to take medicine or eat to address it. ",No,No,Possibly,Possibly,32.0,Female,United States of America,Pennsylvania,United States of America,Pennsylvania
More than 1000,1.0,1.0,No,Not relevant in hiring process ,No,Not relevant in hiring process ,Maybe/Not sure,No,No,No,35.0,Female,Ireland,,Ireland,
More than 1000,0.0,1.0,Yes,I'd directly ask if they mind and if they provide cover or insurance. But only after I talked about my motivation and enthusiasm.,Maybe,I'd directly ask if they mind and if they provide cover or insurance. But only after I talked about my motivation and enthusiasm.,No,No,Possibly,No,40.0,Male,France,,France,
500-1000,0.0,1.0,No,"Even though I know it's illegal in the country I live in, I wouldn't know if they would take me as an employee based on that information.",No,"Even though I know it's illegal in the country I live in, I wouldn't know if they would take me as an employee based on that information.",No,No,No,Yes,30.0,Male,United States of America,New York,United States of America,New York
More than 1000,1.0,1.0,No,If itâs relevent or not,No,If itâs relevent or not,No,,Possibly,Possibly,34.0,Male,United States of America,Texas,United States of America,Texas
26-100,1.0,1.0,Yes,,Maybe,,Maybe/Not sure,,No,No,21.0,Male,United States of America,Massachusetts,United States of America,Massachusetts
More than 1000,0.0,1.0,Maybe,,No,,"Yes, I observed",Yes,Possibly,Yes,37.0,male,France,,France,
,,,Yes,"Having a kidney transplant, I can potentially spend a lot of time in hospitals. I like talking straight about such potential issues.",Maybe,"Having a kidney transplant, I can potentially spend a lot of time in hospitals. I like talking straight about such potential issues.",No,,No,No,27.0,Male,Belarus,,United States of America,Texas
,,,No,Not their business. ,No,Not their business. ,No,,No,No,37.0,Male,United States of America,Colorado,United States of America,Colorado
100-500,1.0,1.0,Maybe,"If a physical disorder might impact my colleagues in some way, through being disruptive etc., it makes sense to discuss it imho. Furthermore, if it might influence my work or working environment, Iâd rather my employer were aware. ",Maybe,"If a physical disorder might impact my colleagues in some way, through being disruptive etc., it makes sense to discuss it imho. Furthermore, if it might influence my work or working environment, Iâd rather my employer were aware. ",No,No,Yes,Yes,33.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Maybe,,Maybe,,No,No,No,Possibly,28.0,Male,United States of America,California,United States of America,California
More than 1000,1.0,1.0,Yes,"Physical issues are usually obvious, so they probably know already. Plus they're tangible and more obvious about how to work with them.",Maybe,"Physical issues are usually obvious, so they probably know already. Plus they're tangible and more obvious about how to work with them.","Yes, I observed",Maybe,Don't Know,Don't Know,41.0,male,United States of America,Massachusetts,United States of America,Massachusetts
26-100,1.0,1.0,Maybe,,No,,No,,No,No,34.0,male,Germany,,Germany,
,,,No,There are laws against irrelevant employability criteria in my country.,No,There are laws against irrelevant employability criteria in my country.,"Yes, I observed",No,No,No,37.0,Male,United Kingdom,,United Kingdom,
More than 1000,1.0,1.0,Yes,I would want to know before accepting an offer that any accommodations I need would be allowed. ,No,I would want to know before accepting an offer that any accommodations I need would be allowed. ,"Yes, I observed",No,Possibly,Yes,28.0,Male,United States of America,Oregon,United States of America,Oregon
More than 1000,0.0,1.0,Yes,A matter of honesty,Maybe,A matter of honesty,"Yes, I observed",No,Possibly,Possibly,52.0,Male,Germany,,Germany,
100-500,1.0,1.0,No,As an employee I would feel protected by employment law. As a candidate I think I would be filtered and not get the job (to make the employing manager's life simpler),No,As an employee I would feel protected by employment law. As a candidate I think I would be filtered and not get the job (to make the employing manager's life simpler),No,Maybe,No,No,39.0,Male,United Kingdom,,United Kingdom,
25-Jun,1.0,1.0,No,Privacy,No,Privacy,No,Maybe,Possibly,Possibly,45.0,Male,United States of America,California,United States of America,California
,,,Maybe,Influence on succesfull outcome,No,Influence on succesfull outcome,I've always been self-employed,No,No,No,50.0,Male,Netherlands,,Netherlands,
100-500,1.0,1.0,Maybe,"generally less discrimination about physical health, revealing that would probably not risk getting the job",No,"generally less discrimination about physical health, revealing that would probably not risk getting the job","Yes, I experienced",No,Don't Know,Possibly,27.0,Male,France,,France,
More than 1000,1.0,1.0,Maybe,,No,,No,No,Yes,Yes,31.0,f,United States of America,Oregon,United States of America,New York
100-500,1.0,1.0,Maybe,Afraid of consequences,No,Afraid of consequences,Maybe/Not sure,No,Possibly,Possibly,44.0,Male,Netherlands,,United States of America,California
25-Jun,1.0,1.0,Yes,,Maybe,,"Yes, I observed",No,No,No,31.0,male,France,,France,
5-Jan,1.0,1.0,Maybe,,Maybe,,"Yes, I observed",,Possibly,Possibly,23.0,Male-ish,Russia,,Russia,
100-500,1.0,1.0,No,"If I needed accommodations for a physical health disorder, I would bring it up and ask after I was hired, to avoid conscious or subconscious hiring bias.",No,"If I needed accommodations for a physical health disorder, I would bring it up and ask after I was hired, to avoid conscious or subconscious hiring bias.",Maybe/Not sure,No,Yes,Yes,23.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,Yes,"If they don't hire me because of that, it's not a place I'd want to work anyway. ",No,"If they don't hire me because of that, it's not a place I'd want to work anyway. ",Maybe/Not sure,No,Possibly,No,38.0,Male,France,,France,
26-100,1.0,1.0,Maybe,Might need accommodation or bring to attention as a proactive measure,Maybe,Might need accommodation or bring to attention as a proactive measure,Maybe/Not sure,,Don't Know,Possibly,37.0,male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,No,Because I'm afraid It would cost me the position,No,Because I'm afraid It would cost me the position,Maybe/Not sure,Maybe,No,No,33.0,Male,France,,Luxembourg,
,,,No,For the fear of being seen as incompetent.,No,For the fear of being seen as incompetent.,"Yes, I observed",Yes,Possibly,Yes,34.0,Male,United States of America,Maryland,United States of America,Maryland
More than 1000,0.0,1.0,Maybe,If it would impact my ability to do the job ,No,If it would impact my ability to do the job ,No,,Possibly,Possibly,47.0,Male ,United States of America,New Jersey,United States of America,New York
26-100,1.0,1.0,Yes,"If I need to have doctor appointments often, it's better to be straight forward than having them being surprised that I will need to be away from the office often",No,"If I need to have doctor appointments often, it's better to be straight forward than having them being surprised that I will need to be away from the office often",No,No,No,Don't Know,29.0,Female,United States of America,California,United States of America,California
More than 1000,0.0,1.0,No,,No,,Maybe/Not sure,No,No,No,38.0,male,United States of America,Kansas,United States of America,Kansas
100-500,1.0,1.0,No,,No,,No,,Don't Know,Don't Know,29.0,Male,Canada,,Canada,
100-500,1.0,1.0,Yes,"If an employer is willing to discriminate against me for health issues, I don't want to work with them. But to be fair, I realize that this is influenced by the fact that I'm lucky to be on the right side of the ""supply/demand"" equation.",Yes,"If an employer is willing to discriminate against me for health issues, I don't want to work with them. But to be fair, I realize that this is influenced by the fact that I'm lucky to be on the right side of the ""supply/demand"" equation.",No,Maybe,Yes,Yes,37.0,Male,United States of America,Missouri,United States of America,California
,,,Yes,Because there exists a social context to discuss that,No,Because there exists a social context to discuss that,I've always been self-employed,,Don't Know,Yes,39.0,M,India,,India,
100-500,1.0,1.0,Maybe,,No,,"Yes, I observed",No,Yes,Yes,29.0,Female,United States of America,Michigan,United States of America,Michigan
,,,Maybe,Depends if relevant to my doing the job.,No,Depends if relevant to my doing the job.,"Yes, I observed",Maybe,Yes,Yes,57.0,f,Canada,,Canada,
25-Jun,1.0,1.0,Maybe,,No,,Maybe/Not sure,No,Yes,Yes,27.0,Female,United States of America,Illinois,United States of America,Illinois
More than 1000,0.0,1.0,Maybe,"Depends on if the physical health issue could be perceived as preventing me from doing the job I'm applying for, even though I think I could handle it.",Maybe,"Depends on if the physical health issue could be perceived as preventing me from doing the job I'm applying for, even though I think I could handle it.",No,,No,No,38.0,Female,United States of America,Illinois,United States of America,Illinois
,,,Maybe,"usual into society ""respected"" enough",No,"usual into society ""respected"" enough","Yes, I observed",Yes,Yes,No,39.0,male,France,,France,
More than 1000,1.0,1.0,Maybe,"I think making health a hiring criterion is bad, but if I'd trust that the interviewer wouldn't make it an issue, I might be willing.",Maybe,"I think making health a hiring criterion is bad, but if I'd trust that the interviewer wouldn't make it an issue, I might be willing.",No,No,Yes,Yes,29.0,Male,Switzerland,,Switzerland,
100-500,0.0,1.0,No,Almost guaranteed to lose the opportunity,No,Almost guaranteed to lose the opportunity,Maybe/Not sure,No,Yes,Yes,24.0,Male,United Kingdom,,United Kingdom,
26-100,1.0,1.0,Yes,"because I want to know that my employer will support me, and allow me to bring all of myself to work",Yes,"because I want to know that my employer will support me, and allow me to bring all of myself to work","Yes, I experienced",Maybe,Yes,Yes,30.0,female,United Kingdom,,United Kingdom,
500-1000,1.0,1.0,Maybe,It may impact my chances of getting the job.,Maybe,It may impact my chances of getting the job.,"Yes, I observed",Maybe,Don't Know,Possibly,32.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,Maybe,Depends on my level of comfort/implied support/seriousness of the interview,Maybe,Depends on my level of comfort/implied support/seriousness of the interview,No,No,Possibly,Yes,37.0,M,United States of America,Minnesota,United States of America,Minnesota
25-Jun,1.0,1.0,No,,No,,No,,Don't Know,No,34.0,male,New Zealand,,New Zealand,
100-500,1.0,0.0,Yes,It is real,Yes,It is real,No,No,No,No,52.0,m,United States of America,Illinois,United States of America,Illinois
100-500,0.0,1.0,No,It's none of their business.,No,It's none of their business.,No,,Possibly,Yes,36.0,Male,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,0.0,1.0,Maybe,I'm 52. I'm reluctant to bring up *anything* in an interview that I don't have to discuss.,Yes,I'm 52. I'm reluctant to bring up *anything* in an interview that I don't have to discuss.,"Yes, I experienced",No,Yes,Yes,52.0,Male,United States of America,North Carolina,United States of America,North Carolina
100-500,1.0,0.0,Yes,,No,,No,Maybe,No,No,49.0,Female,United States of America,Michigan,United States of America,Michigan
More than 1000,1.0,1.0,Maybe,I worry about it impacting my ability to get the job.,No,I worry about it impacting my ability to get the job.,"Yes, I observed",,Yes,Yes,30.0,male,United States of America,California,United States of America,California
25-Jun,1.0,1.0,Maybe,,Maybe,,No,No,Yes,Yes,41.0,male,Australia,,Australia,
More than 1000,0.0,1.0,No,Because I would be fully aware of the limitations the physical health issue gives me in completing my responsibilities.,No,Because I would be fully aware of the limitations the physical health issue gives me in completing my responsibilities.,Maybe/Not sure,No,No,Possibly,29.0,Male,United States of America,New York,United States of America,New York
More than 1000,1.0,1.0,No,Prefer not to give employers any reason to not hire me,No,Prefer not to give employers any reason to not hire me,"Yes, I observed",Yes,No,Yes,37.0,,United States of America,Maryland,United States of America,District of Columbia
100-500,1.0,1.0,Maybe,Unless it interferes with my job I feel like that's personal and not necessary,Maybe,Unless it interferes with my job I feel like that's personal and not necessary,No,Maybe,Possibly,Yes,29.0,Female,United States of America,Michigan,United States of America,Michigan
500-1000,1.0,1.0,Maybe,,Maybe,,No,No,Yes,Yes,39.0,female,United States of America,New York,United States of America,New York
100-500,1.0,1.0,No,,No,,Maybe/Not sure,No,Yes,Yes,30.0,F,United States of America,Illinois,United States of America,Illinois
26-100,1.0,1.0,Maybe,,No,,"Yes, I observed",No,Yes,Yes,23.0,woman,United States of America,New Jersey,United States of America,New Jersey
More than 1000,1.0,1.0,Maybe,"if I had to in order to make arrangements for myself, I would do it... otherwise no",No,"if I had to in order to make arrangements for myself, I would do it... otherwise no","Yes, I observed",No,No,Possibly,29.0,f,United States of America,California,United States of America,California
26-100,1.0,1.0,Maybe,"If the physical disability might impact my role at the company, I might bring it up to see how the potential employer would respond.",Maybe,"If the physical disability might impact my role at the company, I might bring it up to see how the potential employer would respond.",No,No,Yes,Yes,38.0,Male,United States of America,Tennessee,United States of America,Tennessee
More than 1000,1.0,1.0,Maybe,,No,,"Yes, I experienced",Yes,Yes,Yes,41.0,female,United States of America,Washington,United States of America,Washington
100-500,1.0,1.0,Yes,,Maybe,,"Yes, I observed",No,No,No,47.0,Male,United States of America,Nevada,United States of America,Nevada
25-Jun,1.0,1.0,Maybe,Fear of not being accommodated.,No,Fear of not being accommodated.,Maybe/Not sure,,Yes,Yes,56.0,Woman,United States of America,North Carolina,United States of America,North Carolina
100-500,1.0,1.0,Maybe,,Maybe,,"Yes, I observed",No,Possibly,Possibly,22.0,Male,United States of America,California,United States of America,California
100-500,1.0,1.0,No,I don't feel like it's necessary or appropriate to share a physical health issue in an interview unless it's extremely pertinent to the role.,No,I don't feel like it's necessary or appropriate to share a physical health issue in an interview unless it's extremely pertinent to the role.,No,No,Yes,Yes,32.0,female,United States of America,Michigan,United States of America,Michigan
25-Jun,1.0,0.0,Maybe,fear of not getting the job,No,fear of not getting the job,"Yes, I observed",Maybe,Yes,Yes,30.0,female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,Maybe,"I'd expect an employer to be aware of ADA in relation to physical health issues, so I would mention it if I needed accommodations. ",No,"I'd expect an employer to be aware of ADA in relation to physical health issues, so I would mention it if I needed accommodations. ","Yes, I experienced",Yes,Yes,Yes,31.0,sometimes,United States of America,Washington,United States of America,Washington
100-500,1.0,1.0,No,Unless it will affect my work it could be private.,No,Unless it will affect my work it could be private.,No,Maybe,Yes,Yes,36.0,M,United States of America,New Jersey,United States of America,New Jersey
100-500,1.0,1.0,Maybe,"If it was serious enough that it either impacted 
my ability to perform my job, or required a lot
of maintenance in terms of doctor's visits, I might disclose it ahead of time.",No,"If it was serious enough that it either impacted 
my ability to perform my job, or required a lot
of maintenance in terms of doctor's visits, I might disclose it ahead of time.","Yes, I experienced",No,Yes,Yes,32.0,Male,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,It really depends on the feeling I get from the company.,No,It really depends on the feeling I get from the company.,Maybe/Not sure,Maybe,Yes,Yes,37.0,Female,United States of America,California,United States of America,California
25-Jun,0.0,1.0,Yes,,Maybe,,Maybe/Not sure,No,Yes,Possibly,29.0,Male,United States of America,Tennessee,United States of America,Tennessee
26-100,1.0,1.0,Maybe,"It depends on what type of health issue. If it might affect the quality of my work, I wouldn't bring it up.",No,"It depends on what type of health issue. If it might affect the quality of my work, I wouldn't bring it up.",No,Yes,No,Yes,31.0,Female,United States of America,California,United States of America,California
100-500,1.0,1.0,Maybe,"It depends upon the relevance, and my perception of if it will hurt my chances at the job.",No,"It depends upon the relevance, and my perception of if it will hurt my chances at the job.",No,No,Yes,Yes,39.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,0.0,1.0,Maybe,,No,,Maybe/Not sure,,No,Don't Know,36.0,Male,Japan,,Japan,
,,,No,,No,,"Yes, I experienced",No,Yes,Yes,27.0,,United States of America,Illinois,United States of America,Illinois
More than 1000,1.0,1.0,Maybe,It's not really relevant all always ,No,It's not really relevant all always ,No,No,No,No,38.0,Male,United Kingdom,,United Kingdom,
,,,Yes,"It's more likely to be an acceptable form of limitation. Also, physical limitations seem less in our control, so less our fault, so less shame as compared to mental health issues.",No,"It's more likely to be an acceptable form of limitation. Also, physical limitations seem less in our control, so less our fault, so less shame as compared to mental health issues.",Maybe/Not sure,Yes,Don't Know,Yes,37.0,male,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,1.0,1.0,No,"I don't have any physical health issues, so it's hard to say.  But I do think there's pressure to present a very polished version of myself in an interview, and I wouldn't want to expose something about myself that they might find offputting or unappealing.",No,"I don't have any physical health issues, so it's hard to say.  But I do think there's pressure to present a very polished version of myself in an interview, and I wouldn't want to expose something about myself that they might find offputting or unappealing.",No,No,Yes,No,33.0,female,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,,Maybe,,Maybe/Not sure,No,Possibly,Possibly,38.0,Male,Turkey,,Turkey,
100-500,1.0,1.0,Maybe,"I would only bring up pregnancy if I was actually pregnant. Unless my office would need to accommodate my physical health needs (specific desk, no stairs, whatever), I would absolutely not discuss my health during an interview.",No,"I would only bring up pregnancy if I was actually pregnant. Unless my office would need to accommodate my physical health needs (specific desk, no stairs, whatever), I would absolutely not discuss my health during an interview.",No,No,Yes,Possibly,36.0,female (cisgender),United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,They would not proceed with a job offer,No,They would not proceed with a job offer,"Yes, I experienced",Maybe,No,No,30.0,Female,United States of America,Virginia,United States of America,Virginia
26-100,1.0,1.0,Maybe,Always paranoid ;),Yes,Always paranoid ;),No,No,Yes,Yes,38.0,Male,United States of America,Oregon,United States of America,California
26-100,1.0,1.0,Maybe,,No,,Maybe/Not sure,,Possibly,Yes,35.0,female,Canada,,Canada,
25-Jun,1.0,1.0,No,I would be concerned about discrimination. ,Yes,I would be concerned about discrimination. ,No,No,Yes,Yes,26.0,Male,United States of America,Ohio,United States of America,New York
100-500,0.0,1.0,Yes,Physical health tends to be a bit more on the surface,Maybe,Physical health tends to be a bit more on the surface,Maybe/Not sure,,No,Possibly,25.0,Male,United Kingdom,,United Kingdom,
100-500,1.0,1.0,No,"Unless asked specifically, there is no reason to bring it up.",No,"Unless asked specifically, there is no reason to bring it up.",Maybe/Not sure,No,Yes,No,40.0,male,United States of America,Michigan,United States of America,Michigan
25-Jun,1.0,1.0,Yes,,No,,"Yes, I observed",,No,No,31.0,Male,Canada,,Canada,
26-100,1.0,1.0,Maybe,"Need the job means get the job, then figure it out",No,"Need the job means get the job, then figure it out",Maybe/Not sure,Maybe,Possibly,Possibly,49.0,Male,United States of America,Indiana,United States of America,Indiana
26-100,1.0,1.0,Maybe,,Maybe,,No,Maybe,No,Possibly,30.0,Male,Netherlands,,Netherlands,
100-500,0.0,1.0,No,"If it doesn't extremely affect my expected performance on the work at hand, it isn't their business.",No,"If it doesn't extremely affect my expected performance on the work at hand, it isn't their business.",No,,Don't Know,Don't Know,35.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,0.0,1.0,No,,No,,"Yes, I observed",Maybe,Yes,Yes,46.0,Male,United States of America,Tennessee,United States of America,Mississippi
100-500,1.0,1.0,Maybe,"It depends on the physical issue. I'm a cishet woman, so pregnancy is a possibility, which is a touchy issue in itself to bring up at work and in interviews. Other physical issues might not be an issue to discuss.",No,"It depends on the physical issue. I'm a cishet woman, so pregnancy is a possibility, which is a touchy issue in itself to bring up at work and in interviews. Other physical issues might not be an issue to discuss.",No,No,Don't Know,Possibly,29.0,Female,United States of America,New York,United States of America,New York
26-100,0.0,1.0,Yes,Most physical health issues wouldn't have any bearing on my ability to do my job.,No,Most physical health issues wouldn't have any bearing on my ability to do my job.,No,Yes,Yes,Yes,22.0,Male,United States of America,Ohio,United States of America,Ohio
100-500,1.0,0.0,No,I wouldn't want it to color my chances of employment in any way.,No,I wouldn't want it to color my chances of employment in any way.,Maybe/Not sure,,Yes,Yes,50.0,female,United States of America,Illinois,United States of America,Illinois
25-Jun,1.0,1.0,Maybe,Depends on the job i am applying for and if i think it will affect the job.,No,Depends on the job i am applying for and if i think it will affect the job.,No,No,Don't Know,Possibly,39.0,male,United States of America,Georgia,United States of America,Georgia
25-Jun,0.0,1.0,Yes,"Because they can see it, makes it more valid.  Sadly",No,"Because they can see it, makes it more valid.  Sadly",Maybe/Not sure,Yes,Yes,Yes,40.0,Male,United Kingdom,,United Kingdom,
100-500,1.0,1.0,Maybe,In case it prevented me from getting hired.,Maybe,In case it prevented me from getting hired.,No,No,Yes,No,31.0,Male,United States of America,Illinois,United States of America,Illinois
,,,Maybe,To admit makes you more human. Folks in interviews are looking for reasons to not hire you.,No,To admit makes you more human. Folks in interviews are looking for reasons to not hire you.,No,No,Yes,Yes,38.0,Male,United States of America,Ohio,United States of America,Ohio
More than 1000,0.0,1.0,No,Are you kidding me? Seriously? Interviews are about elimination not 'finding someone' ,No,Are you kidding me? Seriously? Interviews are about elimination not 'finding someone' ,"Yes, I experienced",Yes,Yes,Yes,45.0,Male,United States of America,Illinois,United States of America,Illinois
100-500,1.0,1.0,No,,No,,Maybe/Not sure,No,Yes,Yes,31.0,Female,United States of America,Illinois,United States of America,Illinois
100-500,1.0,0.0,Maybe,,No,,No,Maybe,Don't Know,Don't Know,25.0,f,United States of America,Illinois,United States of America,Illinois
500-1000,0.0,1.0,Yes,if it impacts my work,Maybe,if it impacts my work,No,Maybe,Yes,Yes,28.0,Female,United States of America,Texas,United States of America,Texas
More than 1000,1.0,1.0,Maybe,,No,,Maybe/Not sure,Maybe,Possibly,Possibly,37.0,Male,United Kingdom,,United Kingdom,
5-Jan,1.0,1.0,Maybe,Do not want to appear incapable,No,Do not want to appear incapable,No,No,No,Possibly,54.0,M,United States of America,Tennessee,United States of America,Tennessee
More than 1000,1.0,1.0,No,"It might cause most employers to disqualify me, however illegal to do so.",No,"It might cause most employers to disqualify me, however illegal to do so.",No,,Yes,Yes,45.0,Female,United States of America,Illinois,United States of America,Illinois
500-1000,1.0,1.0,No,I don't think it's relevant. ,No,I don't think it's relevant. ,No,No,Yes,Yes,36.0,Male,United States of America,Georgia,United States of America,Georgia
More than 1000,0.0,1.0,Maybe,Would only bring up if was relevant to job.,Maybe,Would only bring up if was relevant to job.,Maybe/Not sure,Maybe,Yes,Yes,34.0,Female,United States of America,Pennsylvania,United States of America,Pennsylvania
100-500,1.0,1.0,No,"Although it might be illegal to discriminate based on health issues, I would be afraid of discrimination",No,"Although it might be illegal to discriminate based on health issues, I would be afraid of discrimination",No,,No,No,28.0,Male,United States of America,Illinois,United States of America,Illinois
